reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,topic_mode_prediction,human_feedback,correct_topic
432c089a-e53b-4742-9732-914484ed766a,Alberto Sánchez,https://play-lh.googleusercontent.com/a/ACg8ocLDgKrSPchmGsFeu53t62F7pHNA3FGDoKLsl53RJicOG5bdSQ=mo,it sucks,1,0,3.207.01,29/03/2025 5:40,,,3.207.01,Generic feedback,1,Generic feedback
3b028088-f6d2-495a-ac2b-864ea4e7c771,ipv4 subnet,https://play-lh.googleusercontent.com/a-/ALV-UjUfN4qEmG7IDv9liKgtBfjf_80iMOK15KgNUUwo0DHHsSPyt0w,Google pay method is using an expired card and doesn't update when I add a new one? I figured it out it was the play button arrow thx,3,0,3.207.01,29/03/2025 3:09,"Hello there! We would gladly look into the difficulty you have faced with the payment method in question and advise you accordingly. For this purpose, please contact us via live chat. Thank you.",29/03/2025 2:08,3.207.01,Usability/UI/UX,1,Usability/UI/UX
6734d1e5-b7ce-4e26-8a7e-f996cda2aff0,Prince Chen Royal Vip Auto Sales,https://play-lh.googleusercontent.com/a-/ALV-UjVVPZcb4dM_Eo5SNndp6BehwmjQyo_j3GP9YTsK2o2LmD2iPv8,Great 👍,5,0,3.206.0,29/03/2025 2:43,,,3.206.0,Generic feedback,1,Generic feedback
f4528037-b704-4fea-bd11-b055abf1cac4,Shane Bond,https://play-lh.googleusercontent.com/a/ACg8ocJ6n7oDEacQeXvs4XSx7A4RH-l3eaJM_RxgYvLZLbFPay8ykA=mo,cool,5,0,3.207.0,29/03/2025 1:57,,,3.207.0,Generic feedback,1,Generic feedback
86983082-7acd-44b7-aaed-d1398a512b26,Cj Lawrey,https://play-lh.googleusercontent.com/a/ACg8ocJ6bJ7DnmZ8T5uDcWUEM0Y9EndiFzpSuf2S1IB4jD0yM6vv=mo,"BEWARE the fees to trade are absolutely ridiculously high. If I knew only selling (not withdrawing) was going to cost so much, I would've NEVER invested what I did through this exchange.",1,0,3.207.0,29/03/2025 0:29,,,3.207.0,Transaction Fees/Speed,1,Transaction Fees/Speed
2a6b0425-a749-4433-aeab-75f1dd5f3904,Ken Barrientez,https://play-lh.googleusercontent.com/a-/ALV-UjX1i2mrPX1Odedqsdf-FKMhlFdDXPxiEgPnM7lZg--1DlUVI7a6,Free crypto currency is exciting,4,0,3.207.01,28/03/2025 23:02,,,3.207.01,Reliability/Stability,0,Generic feedback
65a602f2-16ff-4cf5-bb94-3b5e2a238136,Walter Orellana,https://play-lh.googleusercontent.com/a/ACg8ocLa-zXFwUSZO26BjocBOrqGuliCbYEBq6siigSvzDB0GJNpsQ=mo,very easy to understand,5,0,3.207.01,28/03/2025 22:46,,,3.207.01,Usability/UI/UX,1,Usability/UI/UX
f2f1186e-f2a5-47ce-bcdf-bd1f65ed87dc,Maurice Thomas,https://play-lh.googleusercontent.com/a/ACg8ocJh6X_7a_-BGTKpAOcIPjYlxKtlm8Qu6v7aIjhZX0b25An2_g=mo,I like the app when I can get on it. Every time I try it says. a new update is required to continue using the app. I hit update. it won't continue the update. you can get help in the app. but I can't get in the app,2,0,,28/03/2025 20:33,"Hello Maurice! We invite you to contact us via web chat regarding the difficulties you have faced when updating the app and accessing your account, and we will gladly offer assistance. Thank you!",28/03/2025 21:47,,Usability/UI/UX,0,Reliability/Stability
b4662608-e328-4e33-acec-fcb4c303beff,Danny Plant,https://play-lh.googleusercontent.com/a/ACg8ocLgXqGNIor5j4RQGOKYgBmUKUdZRlw6JYOLARsaamHrxJ4ih8w=mo,Ok but by far the worst of the main 3 apps for crypto.,2,0,3.152.0,28/03/2025 19:49,,,3.152.0,Transaction Fees/Speed,0,Generic feedback
77927ceb-3674-4106-942e-3f54c081e66c,KARMA BAYB (Karma B),https://play-lh.googleusercontent.com/a/ACg8ocKaVaDs-KSpMbAKaXbdxMtA6mAK1UtOdB0uN-y1IrPc7QbzFos=mo,"At 1 point I used to like this app. Now whenever I want to open it, it requires me to update... every single time...",2,0,,28/03/2025 17:47,,,,Usability/UI/UX,0,Reliability/Stability
395238e4-88b0-46ea-951a-2e6ed3902f1b,Larry Wade,https://play-lh.googleusercontent.com/a-/ALV-UjVzovvrF3-Yy7XXotWG_h5NV1n3pEBitvbrNgxuvlGTprzN0GGu,can't hardly get it to download or do any wire transfers on this phone that's why I prefer my computer,3,0,3.207.01,28/03/2025 16:21,,,3.207.01,Usability/UI/UX,0,Reliability/Stability
58a61eb5-45ca-4977-8c54-6d684e87d16d,Alsenussi Abdulrahman Abdullah,https://play-lh.googleusercontent.com/a/ACg8ocL3Js6AO8gc6DRPCMXQESWgdzNx99X-d8SYVAbVtVHUmFYM8DI=mo,good,5,0,3.207.01,28/03/2025 15:04,,,3.207.01,Generic feedback,1,Generic feedback
a8181d20-9b61-45b2-b3da-ee697bb98097,Kikkë G.,https://play-lh.googleusercontent.com/a-/ALV-UjWuMyja4_XszvGjhnpe3eR9W0vgsecPbnT6qGNF3TnY6gj-3VG_,the bugs seemed to have been fixed but pls make it possible to access customer service within the app,4,3,3.207.01,28/03/2025 13:31,"Hello Kikke. We'll be glad to look into the performance difficulties you are facing and offer assistance. For this purpose, please reach out to us via web chat. Thank you!",16/06/2024 8:27,3.207.01,Reliability/Stability,1,Reliability/Stability
776a4427-2122-4a6e-ace7-1a32d49a3d04,Larry Ellis,https://play-lh.googleusercontent.com/a/ACg8ocLrxgV0WVhdkxWVe0OHMJMaXHEFO6mL-OlFgaeDepRvoy89cA=mo,can't unlock app,3,0,3.207.01,28/03/2025 12:11,"Hello Larry! We'd like to take a look at the difficulties you encountered when accessing the app. For further assistance, please get in touch with us via web chat. Thank you.",28/03/2025 13:10,3.207.01,Usability/UI/UX,1,Usability/UI/UX
3bcac7c9-e1c7-4ac1-abbe-0b07180b90c1,Cassie Walker,https://play-lh.googleusercontent.com/a/ACg8ocJF155oV3wtvKxX8XyElYmoR8RYpkhJvnITRk8oKw3Hl5oDQ8E=mo,selling people Info,1,0,,28/03/2025 11:19,,,,Reliability/Stability,1,Reliability/Stability
c3181df9-ff6a-47ce-8cae-0c02d18f0c2c,Don Mooney,https://play-lh.googleusercontent.com/a-/ALV-UjXqg0vawkDKbTaGp2LlJdSkEisWGEIdOMovvzuosGTwrAZCqwak,Wild&crasy,1,0,3.206.0,28/03/2025 9:20,,,3.206.0,Generic feedback,1,Generic feedback
fecac7dc-9bde-43ef-96f7-5b7ecaf1f445,Tommy Hallam,https://play-lh.googleusercontent.com/a/ACg8ocLze3j4mkmjR1udYGUdgjLA55USzFQHSkDfiUirbZ_mnO9bTQ=mo,great app. easy to use for a beginner.,5,0,3.207.01,28/03/2025 5:41,,,3.207.01,Usability/UI/UX,1,Usability/UI/UX
902fc8d9-3724-4e01-bdb7-7f9f10e05a2e,Artyom Medin,https://play-lh.googleusercontent.com/a-/ALV-UjXORG-Nhu9mJKfd0XfTTgEi1lM7im9P5gXd-yml_o7Fz6dPkf8xFg,"I purchased a brand new crypto coin today, Walrus (WAL) but I'm not able to find a lot of crypto coins here for some reason unfortunately even though they are popular or brand new, newly released crypto coins.",4,0,3.207.01,28/03/2025 4:52,,,3.207.01,Transaction Fees/Speed,0,Features/Functionality
8bd27642-b6ea-4696-80c8-dbe1aeb9a05c,Mia,https://play-lh.googleusercontent.com/a-/ALV-UjXFYARu2H3h62nji_HvWLXRGZprIbhcM4ghWdG644uofdlqdxk,Terrible app. There is little to no support and if you do not know what you are doing you will transfer funds wrong and lose money.,1,0,,28/03/2025 4:09,"Hello Mia. If you have contacted us via live chat, we welcome you to get back to us, so we can navigate you through our platform features, and advise you accordingly. Thank you!",28/03/2025 6:15,,Reliability/Stability,0,Usability/UI/UX
057becbb-6753-409e-91d3-7595d0f6b0bb,Malti Pal,https://play-lh.googleusercontent.com/a/ACg8ocIwtsNAzGmfginkjuOSNfrliFLx7h2DUZcs__RnyXo-SVXfHw=mo,this app is not working in india. when I open this app it doesn't show our balance only shows loading. Fix this issue as soon as possible.,1,0,3.207.0,28/03/2025 3:54,"Hello Malti. We welcome you to get in touch with us via web chat, so we can take a look into the performance difficulty you have encountered. We will be glad to offer you assistance. Thank you.",28/03/2025 4:18,3.207.0,Usability/UI/UX,0,Reliability/Stability
3f437f9b-f666-469b-a54f-219cb022639d,Zindy Coss,https://play-lh.googleusercontent.com/a/ACg8ocKF5uKAxptaKs7ymWVFrmppeF3VQc5Oudt0WxVlQ1EaIQ2_rA=mo,"I like this app as they offer earnings, leverage, and now StrikeOptions. However, for me, it has a larger learning curve than another exchange platform. Another dislike is that it doesn't show the overall gain/loss since buying crypto.",4,0,3.207.01,28/03/2025 2:30,,,3.207.01,Reliability/Stability,0,Usability/UI/UX
c56a8ea3-0765-4872-b339-d04a1164577a,T R,https://play-lh.googleusercontent.com/a/ACg8ocKV_mDOhQgJ2nO6ubyse2j_mk4D092uduZPcyWzOtf0B30MKw=mo,"The app works fine BUT they take SO much $ when you sell your coins I actually get LESS than I paid for them originally despite making high % profit on some. I put 1k in to feel them out 1st.$800 gone. Just tried to sell some of my LION which should have been about $40.00+ profit but they showing my ""sell"" price BELOW what I 1st paid for it. WHERE'S MY MONEY YOU ALL TAKE TOO MUCH leaving me in red 100% of the time despite being up in the green enough. 50% fee?? 40.. 30.. random.. I'm out.",1,0,3.207.0,28/03/2025 2:10,,,3.207.0,Reliability/Stability,0,Transaction Fees/Speed
967feb11-2879-45a8-a957-0482b15cb575,Javier Moreno,https://play-lh.googleusercontent.com/a/ACg8ocI-wxACd9m6L2QBPdhhrhi9VaNXty5KNZNGKiv4O4Xpv4ek=mo,first time user finding app very easy to use.,5,0,3.207.01,28/03/2025 0:45,,,3.207.01,Usability/UI/UX,1,Usability/UI/UX
0c15a25b-a564-4459-add4-93b4bda7e84d,Kaitie G,https://play-lh.googleusercontent.com/a-/ALV-UjWmGn030_1CoY_dEdJfxen8TJFjt61b3yxZxUXlW6auxjKvhaw,"It's a good app and all. Although, super slow now after these updates.",3,0,3.201.30,27/03/2025 22:33,,,3.201.30,Reliability/Stability,1,Reliability/Stability
211acf9c-8830-487b-a346-28f5ee67f529,Lavonia Campbell,https://play-lh.googleusercontent.com/a-/ALV-UjXR6quViB8jr3fcSxtpuRkJGA_r90X94MvT1fLjaCYzKqC98kGu,Good app,5,0,3.207.0,27/03/2025 20:38,,,3.207.0,Generic feedback,1,Generic feedback
c59289f8-c91c-422d-a499-80d0fd5691f1,Aaron davies,https://play-lh.googleusercontent.com/a/ACg8ocKALTlZGLyXdm4utUKoZX-ENMZduNcfSV8kg-q493ecpkLzzg=mo,fees are very expensive,1,0,3.166.0,27/03/2025 18:35,,,3.166.0,Transaction Fees/Speed,1,Transaction Fees/Speed
e90127e1-e6e7-4480-b63d-e0cba7ba5faf,Garry Ryan,https://play-lh.googleusercontent.com/a-/ALV-UjUpMvwX7oc1DoSW_pwwfcx5F9ZvfiCFuhri8TPGunRFHI_yPoPUbw,So simple to navigate,5,0,3.207.01,27/03/2025 18:22,,,3.207.01,Usability/UI/UX,1,Usability/UI/UX
ec194da5-31dd-4e05-b341-2c75dbf051d4,Mihael Žamarija,https://play-lh.googleusercontent.com/a/ACg8ocLeGmiKqKsDi6cvGpG5s7DioawU1q6bqpSpXM1-csVZXDZ0uQ=mo,70 billion first unburn ever in crypto. Massive scam. Selling as soon as possible,1,0,3.207.01,27/03/2025 17:23,,,3.207.01,Transaction Fees/Speed,0,Generic feedback
a189c070-8ced-44fc-a49f-98aaf10c046b,David Kelley,https://play-lh.googleusercontent.com/a/ACg8ocLuL1ikdqFrzKPe6abc6AhI05CN3CP42yPilqhUIFE2Hdh2yQ=mo,great app I am enjoying it soo far,5,0,3.207.01,27/03/2025 16:45,,,3.207.01,Generic feedback,1,Generic feedback
efbc58b4-98cd-4bf0-bcdb-08b28861c77d,Daniel H,https://play-lh.googleusercontent.com/a/ACg8ocKlYndSu_9UKH6jYAF1r2nlmPcHGNI3azu_KDMSzhBYAPQwCw=mo,I have funds in USDT and try to transfer to an external wallet and it won't let me. comes up with a error message. it's useless if you can't transfer.?????,1,0,3.207.01,27/03/2025 16:38,"Hello Daniel. We will be happy to take a look at the withdrawal in question and assist. Please contact us via live chat, so we can advise you accordingly. Thank you!",27/03/2025 17:02,3.207.01,Transaction Fees/Speed,0,Account/Wallet